pair,species,origin,age,replicate,phenolics,toughness,thickness,leafN
9,neco,native,mature,5,,113.3333333,0.01225,0.960818713
9,neco,native,young,1,4.450756667,16.66666667,0.00725,1.036357093
9,neco,native,young,2,,8.333333333,0.007416667,1.731607562
9,neco,native,young,3,,5,0.011583333,
9,neco,native,young,4,,16.66666667,0.0065,
9,neco,native,young,5,,35,0.010333333,
9,nemu,invasive,mature,1,3.665361667,53.33333333,0.00875,0.73627972
9,nemu,invasive,mature,2,2.819551667,66.66666667,0.01,0.524385996
9,nemu,invasive,mature,3,3.302871667,128.3333333,0.009666667,0.937435076
9,nemu,invasive,mature,4,,195,0.01,0.813559356
9,nemu,invasive,mature,5,,53.33333333,0.008166667,0.691342315
9,nemu,invasive,young,1,3.846606667,58.33333333,0.007666667,1.22789218
9,nemu,invasive,young,2,,45,0.008583333,2.698398866
9,nemu,invasive,young,3,,48.33333333,0.008,
9,nemu,invasive,young,4,,11.66666667,0.0075,
9,nemu,invasive,young,5,,65,0.007416667,
11,nesa,native,mature,1,5.417396667,93.33333333,0.010222222,2.166162405
11,nesa,native,mature,2,4.088266667,298.3333333,0.012777778,2.165501153
11,nesa,native,mature,3,4.209096667,166.6666667,0.013333333,2.739695841
11,nesa,native,mature,4,,150,0.012555556,2.014212411
11,nesa,native,mature,5,,121.6666667,0.012444444,2.584548208
11,nesa,native,young,1,7.048601667,11.66666667,0.008777778,1.726156557
11,nesa,native,young,2,6.504866667,83.33333333,0.009444444,1.830758156
11,nesa,native,young,3,6.504866667,118.3333333,0.010777778,1.459563142
11,nesa,native,young,4,,78.33333333,0.009333333,
11,nesa,native,young,5,,75,0.010777778,
10,nigl,invasive,mature,1,5.356981667,45,0.010777778,1.999235178
10,nigl,invasive,mature,2,4.027851667,56.66666667,0.013222222,1.401715872
10,nigl,invasive,mature,3,5.659056667,86.66666667,0.011,2.304273991
10,nigl,invasive,mature,4,,63.33333333,0.011222222,2.114746269
10,nigl,invasive,mature,5,,11.66666667,0.010444444,
10,nigl,invasive,young,1,5.417396667,93.33333333,0.014555556,3.351749512
10,nigl,invasive,young,2,6.746526667,21.66666667,0.008888889,4.651119657
10,nigl,invasive,young,3,5.538226667,61.66666667,0.010222222,4.263066453
10,nigl,invasive,young,4,,25,0.009,
10,nigl,invasive,young,5,,21.66666667,0.010888889,
10,nobr,native,mature,1,5.900716667,55,0.013333333,3.872668667
10,nobr,native,mature,2,6.081961667,50,0.0145,2.541173847
10,nobr,native,mature,3,,51.66666667,0.012333333,2.578484752
10,nobr,native,mature,4,,138.3333333,0.008222222,1.449466961
10,nobr,native,mature,5,,78.33333333,0.014444444,
10,nobr,native,young,1,6.021546667,53.33333333,0.011555556,3.776194445
10,nobr,native,young,2,7.773581667,18.33333333,0.010444444,3.74529989
10,nobr,native,young,3,6.081961667,6.666666667,0.009888889,4.052710946
10,nobr,native,young,4,,165,0.007333333,
10,nobr,native,young,5,,15,0.010666667,
11,oleu,invasive,mature,1,6.746526667,410,0.017333333,2.964785185
11,oleu,invasive,mature,2,6.988186667,388.3333333,0.018555556,4.199042735
11,oleu,invasive,mature,3,7.109016667,320,0.018222222,4.179677734
11,oleu,invasive,mature,4,,351.6666667,0.017555556,3.130965365
11,oleu,invasive,mature,5,,406.6666667,0.018888889,3.012913863
11,oleu,invasive,young,1,7.109016667,376.6666667,0.013222222,1.337388526
11,oleu,invasive,young,2,8.981881667,253.3333333,0.013444444,1.48884885
11,oleu,invasive,young,3,6.806941667,245,0.013555556,1.148778521
11,oleu,invasive,young,4,,123.3333333,0.012,
11,oleu,invasive,young,5,,223.3333333,0.014333333,
16,osan,native,mature,1,13.09010167,133.3333333,0.010333333,1.406330472
16,osan,native,mature,2,14.90255167,95,0.010583333,1.239302211
16,osan,native,mature,3,14.17757167,158.3333333,0.010583333,1.093874346
16,osan,native,mature,4,13.81508167,183.3333333,0.009083333,1.275124561
16,osan,native,mature,5,,155,0.01125,0.944456897
16,osan,native,young,1,15.26504167,12.5,0.00525,1.312094039
16,osan,native,young,2,14.17757167,27.5,0.00525,1.312247339
